screen_id,route,access_method,allowed_roles,input_data,view_model,data_source,ui_states,actions,target_screens,evidence
SCR-01,permission_onboarding,Launch khi has_shown_permission_onboarding=false,All,"None",None,SharedPreferences (bds_collector_prefs),"[Initial, Granted, Denied]","[Request Permissions, Skip/Continue]","property_list","PermissionOnboardingScreen.kt:28-120; MainActivity.kt:296-304"
SCR-02,property_list,Start Destination hoặc BottomBar tab 1,All,"filter_view_today (Intent extra boolean)",PropertyListViewModel,"PropertyRepository, SettingsManager, NetworkStateObserver","[Loading, Empty, Populated, MultiSelectMode, Filtered, OfflineBanner, PendingMediaBanner]","[Search, Filter, Sort, Add, MultiSelect, Delete, ToggleNeedToViewToday, ToggleStatus, QuickCheckDuplicate, OpenSurveyMap, Export]","property_add, property_detail/{id}, property_edit/{id}, unverified_detail/{id}, map_survey, settings","PropertyListScreen.kt:70-593; MainActivity.kt:307-327"
SCR-03,property_add,FAB '+' hoặc Shortcut ADD_PROPERTY hoặc liên kết từ Customer,All,"linkedCustomerId, isVerified, lat, lng",PropertyFormViewModel,"PropertyRepository, CustomerRepository, SettingsManager, ReverseGeocoding","[FormEmpty, FormEditing, Saving, LocationFetching, MediaPicking, ValidationErrors]","[Input Fields, Pick Location GPS/Map, Pick Images, Extract From Text, Save, Cancel]","property_detail/{id}, popBackStack","PropertyFormScreen.kt:80-650; MainActivity.kt:330-376"
SCR-04,property_edit/{propertyId},Nút Sửa trên Card/Detail hoặc Shortcut verify,All,"propertyId, openForVerify (boolean)",PropertyFormViewModel,"PropertyRepository, CustomerRepository, SettingsManager","[LoadingData, Populated, FormEditing, Saving, Verifying, ValidationErrors]","[Update Fields, Re-pick Images, Verify Listing, Save Changes, Cancel]","property_detail/{id}, popBackStack","PropertyFormScreen.kt:80-650; MainActivity.kt:378-400"
SCR-05,property_detail/{propertyId},Click vào Card BĐS từ danh sách/bản đồ,All,"propertyId",PropertyDetailViewModel + CustomerViewModel,"PropertyRepository, CustomerRepository, GeminiHelper, R2Client/DriveClient","[Loading, ContentReady, Error, Refreshing, MediaUploading, Syncing]","[Call, SMS, Zalo, Share, Edit, Delete, ToggleStatus, AddCustomerLink, AddDiary, AddViewingSchedule, ExportPhotos, ViewMap, Compass]","property_edit/{id}, customer_list/{id}, map_survey, settings_icon_sorting, popBackStack","PropertyDetailScreen.kt:130-1380; MainActivity.kt:402-425"
SCR-06,unverified_list,BottomBar tab 2 hoặc Share Text Intent,All,"sharedTextFromIntent (Intent extra)",UnverifiedViewModel,"PropertyRepository, GeminiHelper, SettingsManager","[Loading, Empty, Populated, ExtractingText, MultiSelectMode, ErrorApiKeyMissing]","[Paste Text, Auto Extract AI/Regex, Search, Filter, MultiSelect, Verify Promotion, Delete]","property_add?isVerified=false, unverified_detail/{id}, property_edit/{id}, map_survey","UnverifiedScreen.kt:70-860; MainActivity.kt:428-444"
SCR-07,unverified_detail/{unverifiedId},Click Card từ unverified_list hoặc map,All,"unverifiedId",PropertyDetailViewModel + CustomerViewModel,"PropertyRepository, CustomerRepository, GeminiHelper","[Loading, ContentReady, Error]","[Verify/Promote, Edit, Delete, Share, Call, Add Diary]","property_edit/{id}?openForVerify=true, popBackStack","PropertyDetailScreen.kt:130-1380; MainActivity.kt:472-495"
SCR-08,map_survey,BottomBar tab 4 hoặc Action Xem Bản đồ,All,"centerPropertyId, selectedKeys",MapSurveyViewModel,"PropertyRepository, CustomerRepository, LocationHelper, OSMDroid TileCache","[MapLoading, CenterLocationLocated, Clustered, RouteOptimized, PreviewSheetVisible, GPSTracking]","[MoveMap, Zoom, ChangeRadius, ToggleSurveyedFilter, PickItemMarker, AddAtCoordinate, OptimizeRoute, StartNavigation]","property_detail/{id}, unverified_detail/{id}, customer_list/{id}, property_add","MapSurveyScreen.kt:102-1580; MainActivity.kt:448-470"
SCR-09,customer_list,BottomBar tab 3,All,"None",CustomerViewModel,"CustomerRepository, PropertyRepository, MatchEngineUseCase","[Loading, Empty, Populated, FilteredByDemand, SearchActive]","[Search, Filter By Demand, Add Customer, Call, SMS, Zalo, View Matches, Delete]","customer_list/{customerId}, property_detail/{id}, property_add","CustomerScreen.kt:45-380; MainActivity.kt:498-504"
SCR-10,customer_list/{customerId},Click vào CustomerCard từ list hoặc PropertyDetail,All,"customerId",CustomerViewModel,"CustomerRepository, PropertyRepository, MatchEngineUseCase","[Loading, DetailViewReady, EditCustomerVisible, LinkedPropertiesExpanded]","[Edit Customer, Delete Customer, Add Viewed Property, Add Owned Property, View Matched Properties, Quick Note]","property_detail/{id}, property_add, popBackStack","CustomerDetailViewScreen.kt:70-1450; MainActivity.kt:505-513"
SCR-11,statistics,Nút Thống kê từ menu Settings,All,"None",StatisticsViewModel,"PropertyRepository, CustomerRepository","[Loading, Loaded, ChartRendered]","[Switch Time Range, Filter By Type, View Chart Details, Back]","popBackStack","StatisticsScreen.kt:35-260; MainActivity.kt:518-523"
SCR-12,settings,BottomBar tab Settings hoặc top bar icon,All,"None",SettingsViewModel,"SettingsManager, SyncScheduler, WorkManager, AppDatabase","[Idle, SyncingNow, BackupInProgress, RestoreInProgress, Error]","[Sync Now, Toggle AutoSync, Set Daily Sync Time, Backup DB, Restore DB, Purge SoftDeleted, Navigate ApiConfig, Navigate IconSorting]","statistics, sync_history, settings_api_config, settings_icon_sorting","SettingsScreen.kt:60-850; MainActivity.kt:526-535"
